,key_id,message_id,content,key_time,event_for_message_type,message_uid,message_content,user_id,session_id,reply_to_message_id,message_created_at,user_status
0,1,1,H,2024-06-08 09:19:07.999,0,OrovKJP0X4nJgcs22N6cxfLSwYVFGbWu,Hello,1,1,,2024-06-08 11:19:08.554499,L
1,2,1,He,2024-06-08 09:19:08.122,0,OrovKJP0X4nJgcs22N6cxfLSwYVFGbWu,Hello,1,1,,2024-06-08 11:19:08.554499,L
2,3,1,Hel,2024-06-08 09:19:08.232,0,OrovKJP0X4nJgcs22N6cxfLSwYVFGbWu,Hello,1,1,,2024-06-08 11:19:08.554499,L
3,4,1,Hell,2024-06-08 09:19:08.377,0,OrovKJP0X4nJgcs22N6cxfLSwYVFGbWu,Hello,1,1,,2024-06-08 11:19:08.554499,L
4,5,1,Hello,2024-06-08 09:19:08.522,0,OrovKJP0X4nJgcs22N6cxfLSwYVFGbWu,Hello,1,1,,2024-06-08 11:19:08.554499,L
5,6,2,H,2024-06-08 09:19:24.449,0,HaeW3cjL3Le0tG6nMgeDIGhLNQJUiyBD,Hello,2,1,,2024-06-08 11:19:25.688585,L
6,7,2,He,2024-06-08 09:19:24.529,0,HaeW3cjL3Le0tG6nMgeDIGhLNQJUiyBD,Hello,2,1,,2024-06-08 11:19:25.688585,L
7,8,2,Hel,2024-06-08 09:19:24.641,0,HaeW3cjL3Le0tG6nMgeDIGhLNQJUiyBD,Hello,2,1,,2024-06-08 11:19:25.688585,L
8,9,2,Hell,2024-06-08 09:19:24.796,0,HaeW3cjL3Le0tG6nMgeDIGhLNQJUiyBD,Hello,2,1,,2024-06-08 11:19:25.688585,L
9,10,2,Hello,2024-06-08 09:19:25.654,0,HaeW3cjL3Le0tG6nMgeDIGhLNQJUiyBD,Hello,2,1,,2024-06-08 11:19:25.688585,L
10,11,3,,2024-06-08 09:19:31.861,5,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
11,12,3,H,2024-06-08 09:19:32.069,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
12,13,3,Ho,2024-06-08 09:19:32.149,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
13,14,3,How,2024-06-08 09:19:32.372,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
14,15,3,How ,2024-06-08 09:19:32.442,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
15,16,3,How a,2024-06-08 09:19:32.620,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
16,17,3,How ar,2024-06-08 09:19:32.772,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
17,18,3,How are,2024-06-08 09:19:32.812,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
18,19,3,How are ,2024-06-08 09:19:32.950,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
19,20,3,How are y,2024-06-08 09:19:33.015,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
20,21,3,How are yo,2024-06-08 09:19:33.150,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
21,22,3,How are you,2024-06-08 09:19:33.408,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L
22,23,3,How are you?,2024-06-08 09:19:33.596,0,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896,L